operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value,date_str,date_parsed,time_period,year,half_year,fractional_year
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas used in production (Mm3),NA,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Water (ML),NA,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,NA,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Total gas produced (Mm3),NA,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas flared or vented (Mm3),NA,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas used in production (Mm3),NA,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Water (ML),NA,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,No. of wells producing petroleum,NA,31/12/2013,2013-12-31,H2 2013,2013,0.5,2013.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Total gas produced (Mm3),NA,30/06/2014,2014-06-30,H1 2014,2014,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Gas flared or vented (Mm3),NA,30/06/2014,2014-06-30,H1 2014,2014,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Gas used in production (Mm3),NA,30/06/2014,2014-06-30,H1 2014,2014,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Water (ML),NA,30/06/2014,2014-06-30,H1 2014,2014,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,No. of wells producing petroleum,NA,30/06/2014,2014-06-30,H1 2014,2014,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Total gas produced (Mm3),NA,31/12/2014,2014-12-31,H2 2014,2014,0.5,2014.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Gas flared or vented (Mm3),NA,31/12/2014,2014-12-31,H2 2014,2014,0.5,2014.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Gas used in production (Mm3),NA,31/12/2014,2014-12-31,H2 2014,2014,0.5,2014.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Water (ML),NA,31/12/2014,2014-12-31,H2 2014,2014,0.5,2014.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,No. of wells producing petroleum,NA,31/12/2014,2014-12-31,H2 2014,2014,0.5,2014.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Total gas produced (Mm3),NA,30/06/2015,2015-06-30,H1 2015,2015,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Gas flared or vented (Mm3),NA,30/06/2015,2015-06-30,H1 2015,2015,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Gas used in production (Mm3),NA,30/06/2015,2015-06-30,H1 2015,2015,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Water (ML),NA,30/06/2015,2015-06-30,H1 2015,2015,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,No. of wells producing petroleum,NA,30/06/2015,2015-06-30,H1 2015,2015,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Total gas produced (Mm3),NA,31/12/2015,2015-12-31,H2 2015,2015,0.5,2015.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Gas flared or vented (Mm3),NA,31/12/2015,2015-12-31,H2 2015,2015,0.5,2015.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Gas used in production (Mm3),NA,31/12/2015,2015-12-31,H2 2015,2015,0.5,2015.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Water (ML),NA,31/12/2015,2015-12-31,H2 2015,2015,0.5,2015.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,No. of wells producing petroleum,NA,31/12/2015,2015-12-31,H2 2015,2015,0.5,2015.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Total gas produced (Mm3),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Gas flared or vented (Mm3),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Gas used in production (Mm3),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Water (ML),NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,No. of wells producing petroleum,NA,30/06/2016,2016-06-30,H1 2016,2016,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Total gas produced (Mm3),3.42,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas flared or vented (Mm3),0.04,30/6/2011,2011-06-30,H1 2011,2011,0,2011
